DEALER_ID,Dealer_Name,Dealer_Brand,Dealer_Address,Dealer_Pincode,Dealer_City,Dealer_State,Dealer_Category_Level_3,FOS_Code,FOS_Name
1010046,C T Pundole And Sons Pvt Ltd Vishnu Complex,C T Pundole And Sons Pvt Ltd Vishnu Complex,CTPUNDOLESINGHAD ROAD SHOP NO 3 AND 4 VISHNU COMPLEX OPP P L DESHPANDE GARDEN SINGHAD ROAD  PUNE MAHARASHTRA,411041.0,Pune,Maharashtra,Others,90041722,Shubham Uttamrao Sunewad
1010043,C T Pundole And Sons Pvt Ltd Phoenix Mall,C T Pundole And Sons Pvt Ltd Phoenix Mall,CTPUNDOLEPHOENIX MALL UG 08 PHOENIX MARKET CITY VIMANNAGAR  PUNE MAHARASHTRA,411014.0,Pune,Maharashtra,Others,No Mapping,No Mapping
1022174,Reliance Retail Limited ,Reliance Smart,T8WPCENTROMSM PARANJAPE MALL NEAR MES COLLAGE PUNE CTS NO 2520 PLOT 25C OFF KARVE ROAD PUNE MAHARASHTRA 411004PUNE PUNE 411004 INDIA  PUNE MAHARASHTRA,411004.0,Pune,Maharashtra,Others,90043471,Tejas Anil Kumbhar
1010047,C T Pundole And Sons Pvt Ltd Punyai Sabhagruh,C T Pundole And Sons Pvt Ltd Punyai Sabhagruh,CTPUNDOLEPAUD ROAD PUNYAI SABHAGRUH SHOP 3C PAUD ROAD  PUNE MAHARASHTRA,411038.0,Pune,Maharashtra,Others,90049256,Sarang Awate
60099904,Mcare Computers,Mcare Computers,ShopNo21stFloorPawarHeightBhekrainagarPhursungi NearBhekrainagarBusDepotSaswadRoad  PUNE MAHARASHTRA,412308.0,Pune,Maharashtra,Others,90043471,Tejas Anil Kumbhar
1022176,Reliance Retail Limited ,Reliance Smart,T8XACENTROASCENT PLOT 466 GR FIRST AND FIFTH FLOOR SHIVAJINAGAR CTS NO 1086 GANESHKHIND ROAD BHAMBURDA PUNE MAHARASHTRA 411016PUNE PUNE 411016 INDIA  PUNE MAHARASHTRA,411016.0,Pune,Maharashtra,Others,90041722,Shubham Uttamrao Sunewad
60116711,Nishaad Music House,Nishaad Music House,"shopNo2BakareheightsoppshivajiMaharajstatuenexttopulsemedicalKothrudPune411038 DPRoad,DamodarVilla,RahulNagar,Kothrud,Pune,MaharashtraPin-411038India  PUNE MAHARASHTRA",411038.0,Pune,Maharashtra,Musical Instruments,90041722,Shubham Uttamrao Sunewad
1010042,C T Pundole And Sons Pvt Ltd M G Raod Camp,C T Pundole And Sons Pvt Ltd M G Raod Camp,262 BY 263 M G ROAD CAMP PUNE MAHARASHTRA  PUNE MAHARASHTRA,411001.0,Pune,Maharashtra,Others,No Mapping,No Mapping
60112824,Hopes Enterprises,Hopes Enterprises,ShopNo2TainSquareCBuilding RelianceMartPremisesFatimaNagar  PUNE MAHARASHTRA,411040.0,Pune,Maharashtra,Toys,No Mapping,No Mapping
60096450,Omkar Test Non Aggregator,Omkar Test Non Aggregator,"Vimannagarmantri Itpark,Pune,Maharashtra,411014  PUNE MAHARASHTRA",411014.0,Pune,Maharashtra,Apparels,No Mapping,No Mapping
